rot0	rot1	rot2	rot3
5.38236	5.3077	5.28343	5.36705
5.40529	5.28456	5.25461	5.38143
5.40844	5.28503	5.2547	5.39122
5.39721	5.29023	5.2613	5.39338
5.39283	5.30473	5.27419	5.39659
5.92698	5.10647	4.74064	5.60425
5.69508	4.94177	4.93232	5.8406
7.18415	3.30736	3.44208	7.51057
6.03605	4.30976	4.65422	6.456
3.51042	7.29075	7.17449	3.41967
3.62537	7.28105	6.95133	3.49734
4.47406	6.34581	6.17835	4.41471
5.18169	5.59495	5.63641	5.14181
5.49987	5.29378	5.38463	5.47319
5.57224	5.26801	5.31652	5.54938
5.53865	5.31249	5.32516	5.51243
5.49717	5.34717	5.34607	5.46904
5.51756	5.40107	5.29265	5.38489
5.42703	5.31182	5.35935	5.44997
5.40012	5.28036	5.34835	5.4554
5.40773	5.28258	5.31593	5.44024
5.41252	5.28101	5.2871	5.41982
5.41678	5.28172	5.27508	5.41109
5.4093	5.27673	5.26941	5.40671
5.40684	5.27998	5.273	5.40914
5.4	5.28148	5.27614	5.40888
5.40154	5.2913	5.28536	5.41142
5.39841	5.2978	5.2924	5.4104
5.40207	5.31067	5.30446	5.41236
5.39948	5.31847	5.31299	5.41103
5.40269	5.33136	5.32535	5.41244
5.39906	5.33806	5.33298	5.41017
5.40084	5.34914	5.34355	5.4102
5.39551	5.35349	5.34872	5.40626
5.39539	5.36199	5.35645	5.40452
5.38817	5.36356	5.35866	5.39872
5.38613	5.3694	5.36345	5.39529
5.37722	5.36846	5.36291	5.388
5.37371	5.37207	5.36511	5.38339
5.36371	5.36915	5.36238	5.37515
5.35942	5.3712	5.36274	5.37002
5.34907	5.36701	5.35854	5.36155
5.3447	5.3682	5.35776	5.35663
5.33475	5.36338	5.35285	5.34863
5.33103	5.36421	5.35158	5.34447
5.32204	5.35925	5.34654	5.33745
5.31942	5.36018	5.3453	5.33457
5.31178	5.3554	5.34049	5.3288
5.31055	5.35667	5.33958	5.32732
5.30441	5.35226	5.33524	5.32294
5.3046	5.35391	5.33477	5.3229
5.29989	5.34987	5.33099	5.31984
5.30138	5.35193	5.33102	5.32105
5.29789	5.34821	5.32773	5.31908
5.30049	5.35056	5.32819	5.32126
5.29793	5.34705	5.32527	5.32012
5.30127	5.34957	5.326	5.32301
5.20865	5.1819	5.41414	5.48666
5.26111	5.33641	5.35772	5.34668
5.1562	5.25134	5.44892	5.43766
5.26523	5.35901	5.34717	5.35996
5.34385	5.72229	5.25553	4.99994
5.01359	6.44036	5.60679	4.27004
3.06615	9.0185	7.57423	1.63996
5.05065	5.85042	5.45732	4.94225
6.47736	2.42252	3.27343	9.09985
6.33564	3.23246	3.30028	8.49722
6.19282	4.35669	4.62942	6.48276
6.11982	5.22916	5.56819	5.14944
5.83215	5.63713	5.88337	4.9904
5.60621	5.72931	5.87076	5.28239
5.53756	5.66599	5.77156	5.51746
5.55285	5.60826	5.68808	5.5923
5.55363	5.58548	5.62481	5.56307
5.5255	5.58967	5.58296	5.51188
5.46725	5.58707	5.54688	5.46446
5.41144	5.58326	5.5192	5.42998
5.35834	5.56831	5.4901	5.39858
5.32216	5.55887	5.46753	5.37527
5.29207	5.54465	5.44557	5.35333
5.27726	5.53825	5.43247	5.34097
5.26675	5.52681	5.42172	5.33079
5.26939	5.52249	5.41933	5.33023
5.27396	5.51268	5.41774	5.33046
5.28863	5.50977	5.42217	5.33866
5.30184	5.50117	5.42516	5.34528
5.32168	5.49922	5.43184	5.35775
5.33682	5.49109	5.43533	5.36642
5.356	5.48922	5.44089	5.37915
5.36826	5.48054	5.44203	5.38651
5.3832	5.47765	5.44438	5.39684
5.39022	5.46755	5.44167	5.40109
5.39959	5.46296	5.43983	5.40786
5.40096	5.45098	5.43295	5.40849
5.40507	5.44448	5.42724	5.41176
5.40156	5.43085	5.41682	5.40922
5.40155	5.42292	5.4082	5.40962
5.39458	5.40832	5.39548	5.40478
5.39191	5.39982	5.38531	5.40324
5.38295	5.38524	5.37178	5.39705
5.37907	5.3771	5.36157	5.39449
5.36947	5.36344	5.34857	5.38782
5.36557	5.3565	5.33956	5.38505
5.35634	5.34453	5.32814	5.37851
5.35324	5.33945	5.32119	5.37605
5.34502	5.32955	5.31201	5.37007
5.34314	5.32662	5.30753	5.36818
5.3362	5.31896	5.30083	5.36295
5.33569	5.31817	5.29885	5.36177
5.33003	5.31261	5.29447	5.35727
5.33072	5.31369	5.2947	5.35675
5.18181	5.12685	5.4366	5.53597
5.2712	5.25472	5.34899	5.38669
5.3639	5.30528	5.26739	5.31704
5.40525	5.42394	5.23632	5.20223
3.35387	3.30587	7.2766	7.32787
3.41141	3.18484	7.39857	7.30427
7.91777	7.42579	3.19322	2.71459
7.94272	7.529	3.12259	2.7134
6.3414	6.32864	4.48957	4.48123
5.212	5.47382	5.56177	5.82534
4.99536	5.3057	5.85264	6.17685
5.23802	5.48287	5.718	5.98966
5.46866	5.64728	5.5346	5.74077
5.54245	5.6896	5.45963	5.62807
5.49419	5.63208	5.46272	5.61404
5.42762	5.55759	5.48483	5.62336
5.37438	5.49109	5.48652	5.60897
5.34756	5.44756	5.4769	5.58091
5.32643	5.40995	5.45847	5.54374
5.31539	5.38435	5.44623	5.51453
5.30188	5.35861	5.43488	5.48821
5.29795	5.34461	5.43092	5.4717
5.29325	5.33168	5.42587	5.45614
5.29863	5.3307	5.4261	5.44808
5.30214	5.32932	5.4239	5.43948
5.31374	5.33762	5.42614	5.43715
5.32114	5.34278	5.42529	5.43318
5.33467	5.35515	5.4281	5.4342
5.34224	5.36209	5.42708	5.43231
5.35467	5.37462	5.42898	5.43415
5.36016	5.38027	5.42641	5.43195
5.36989	5.39054	5.42628	5.4326
5.37226	5.39323	5.42147	5.4286
5.37871	5.40026	5.41888	5.42705
5.37778	5.39951	5.41167	5.42067
5.38118	5.40319	5.4069	5.41678
5.37753	5.39932	5.39773	5.40819
5.37858	5.40023	5.39135	5.40242
5.37294	5.394	5.38102	5.39237
5.37243	5.39299	5.37391	5.38556
5.36573	5.38535	5.3633	5.37494
5.36453	5.38328	5.35634	5.36802
5.35747	5.37509	5.34628	5.35777
5.35624	5.37285	5.34019	5.35156
5.34943	5.36481	5.33128	5.34239
